Country Name,Airport Name,Airport Code,Mapping Code
Spain,Jerez,XRY,XRY
Spain,La Palma,SPC,SPC
Spain,Lanzarote,ACE,ACE
Spain,Madrid,MAD,MAD
Spain,Malaga,AGP,AGP
Spain,Menorca,MAH,MAH
Spain,Murcia International,RMU,RMU
Spain,Palma de Mallorca,PMI,PMI
Spain,Santander,SDR,SDR
Spain,Santiago,SCQ,SCQ
Spain,Seville,SVQ,SVQ
United Kingdom,Aberdeen,ABZ,ABZ
United Kingdom,Birmingham,BHX,BHX
United Kingdom,Bournemouth,BOH,BOH
United Kingdom,Bristol,BRS,BRS
United Kingdom,Cardiff,CWL,CWL
United Kingdom,Derry,LDY,LDY
United Kingdom,East Midlands,EMA,EMA
United Kingdom,Edinburgh,EDI,EDI
United Kingdom,Exeter,EXT,EXT
United Kingdom,Glasgow (All Airports),GLW,GLW
United Kingdom,Glasgow,GLA,GLW
United Kingdom,Glasgow Prestwick,PIK,GLW
United Kingdom,Leeds Bradford,LBA,LBA
United Kingdom,Liverpool,LPL,LPL
United Kingdom,London (All Airports),LON,LON
United Kingdom,London Gatwick,LGW,LON
United Kingdom,London Luton,LTN,LON
United Kingdom,London Stansted,STN,LON
United Kingdom,Manchester,MAN,MAN
United Kingdom,Newcastle,NCL,NCL
United Kingdom,Newquay Cornwall,NQY,NQY
United Kingdom,Teesside,MME,MME
Spain,Tenerife (All Airports),TEN,TEN
Spain,Tenerife North,TFN,TEN
Spain,Tenerife South,TFS,TEN
Spain,Valencia,VLC,VNC
Spain,Valladolid,VLL,VLL
Spain,Vigo,VGO,VGO
Spain,Vitoria (Basque Country),VIT,VIT
Spain,Zaragoza,ZAZ,ZAZ
Italy,Venice Treviso,TSF,VEN
Italy,Verona,VRN,VRN
Warsaw,Warsaw (All Airports),WWA,WWA
Warsaw,Warsaw Chopin,WAW,WWA
